City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sola,VU,2021-07-05 03:34:57,-13.8833,167.55,81.27,78,75,11.5
68,Izhevskoye,RU,2021-07-05 03:34:58,54.5567,40.8703,61.65,80,13,11.5
69,East London,ZA,2021-07-05 03:33:09,-33.0153,27.9116,56.66,60,0,14.58
70,Uray,RU,2021-07-05 03:34:58,60.1247,64.7758,56.89,48,70,15.37
71,Mar Del Plata,AR,2021-07-05 03:34:58,-38.0023,-57.5575,52.12,71,0,1.01
72,Pevek,RU,2021-07-05 03:34:59,69.7008,170.3133,42.08,56,100,3.62
73,Iqaluit,CA,2021-07-05 03:34:59,63.7506,-68.5145,40.73,80,40,11.99
74,Nizhneivkino,RU,2021-07-05 03:34:59,58.194,49.5214,58.93,60,1,6.69
75,Natchitoches,US,2021-07-05 03:35:00,31.7668,-93.1335,79.65,69,1,3.44
76,Mastic Beach,US,2021-07-05 03:35:00,40.7668,-72.8521,70.0,92,80,5.01
77,Naples,IT,2021-07-05 03:33:23,40.8333,14.25,75.15,78,20,1.14
78,Mount Darwin,ZW,2021-07-05 03:34:13,-16.7725,31.5838,45.9,61,0,3.47
79,Manta,EC,2021-07-05 03:35:01,-0.95,-80.7333,71.38,88,40,10.36
80,Cape Town,ZA,2021-07-05 03:30:05,-33.9258,18.4232,50.41,88,75,9.22
81,Havre,FR,2021-07-05 03:35:01,49.5833,0.3333,58.77,94,90,4.61
82,Cayambe,EC,2021-07-05 03:35:01,0.05,-78.1333,43.86,82,31,8.75
83,Hithadhoo,MV,2021-07-05 03:35:02,-0.6,73.0833,83.37,68,96,10.36
84,Camacha,PT,2021-07-05 03:35:02,33.0833,-16.3333,69.53,88,20,9.22
85,Zhanaozen,KZ,2021-07-05 03:35:02,43.3,52.8,95.49,21,2,14.29
86,Nikolskoye,RU,2021-07-05 03:35:11,59.7035,30.7861,66.79,58,0,3.67
87,Bethel,US,2021-07-05 03:35:11,41.3712,-73.414,67.05,89,1,0.0
88,Juneau,US,2021-07-05 03:30:16,58.3019,-134.4197,66.85,74,20,10.36
89,Georgetown,MY,2021-07-05 03:35:11,5.4112,100.3354,85.89,78,20,7.0
90,Lyskovo,RU,2021-07-05 03:35:12,56.0328,45.0422,61.39,70,13,9.15
91,Santa Barbara,US,2021-07-05 03:35:12,34.7333,-120.0343,60.3,79,1,6.91
92,Cherrapunji,IN,2021-07-05 03:35:12,25.3,91.7,66.45,73,60,4.45
93,Aykhal,RU,2021-07-05 03:35:13,66.0,111.5,64.85,52,100,6.4
94,Kodiak,US,2021-07-05 03:33:16,57.79,-152.4072,53.11,82,90,6.91
95,Chilca,PE,2021-07-05 03:35:13,-12.5211,-76.7372,62.76,85,32,8.37
96,Tahe,CN,2021-07-05 03:35:13,52.3333,124.7333,75.65,71,78,1.79
97,Tazovskiy,RU,2021-07-05 03:35:14,67.4667,78.7,46.04,60,6,9.01
98,Camocim,BR,2021-07-05 03:35:14,-2.9022,-40.8411,73.8,88,4,8.9
99,Acarau,BR,2021-07-05 03:35:15,-2.8856,-40.12,75.47,86,15,11.41
100,Lavrentiya,RU,2021-07-05 03:35:15,65.5833,-171.0,43.65,98,100,4.18
101,Lata,PT,2021-07-05 03:35:15,40.1629,-8.3327,65.91,90,81,0.72
102,Neuquen,AR,2021-07-05 03:35:15,-38.9516,-68.0591,51.57,43,0,2.55
103,Great Falls,US,2021-07-05 03:31:01,47.5002,-111.3008,86.45,22,1,8.01
104,Severo-Kurilsk,RU,2021-07-05 03:35:16,50.6789,156.125,53.92,62,99,12.39
105,Hobart,AU,2021-07-05 03:35:16,-42.8794,147.3294,53.46,56,20,5.01
106,Shimoda,JP,2021-07-05 03:35:16,34.6667,138.95,79.16,90,100,17.65
107,Sayan,PE,2021-07-05 03:35:17,-11.1361,-77.1933,64.96,63,0,1.61
108,Grindavik,IS,2021-07-05 03:35:17,63.8424,-22.4338,49.95,93,90,4.61
109,Hilo,US,2021-07-05 03:35:17,19.7297,-155.09,78.53,76,90,10.36
110,Chapais,CA,2021-07-05 03:35:18,49.7834,-74.8492,62.38,65,3,6.71
111,Bluff,NZ,2021-07-05 03:35:18,-46.6,168.3333,54.48,65,82,20.96
112,Goderich,CA,2021-07-05 03:35:18,43.7501,-81.7165,73.72,73,97,8.05
113,Ostrovnoy,RU,2021-07-05 03:35:19,68.0531,39.5131,49.91,72,48,2.21
114,Kruisfontein,ZA,2021-07-05 03:35:19,-34.0033,24.7314,46.89,72,0,9.01
115,Vanimo,PG,2021-07-05 03:35:19,-2.6741,141.3028,85.91,68,87,8.57
116,Fairbanks,US,2021-07-05 03:35:19,64.8378,-147.7164,73.36,40,20,5.75
117,Sarh,TD,2021-07-05 03:35:20,9.1429,18.3923,73.31,94,0,0.0
118,Denpasar,ID,2021-07-05 03:30:27,-8.65,115.2167,83.86,61,40,17.27
119,Ribeira Grande,PT,2021-07-05 03:35:20,38.5167,-28.7,69.53,95,64,14.52
120,Sesheke,ZM,2021-07-05 03:35:20,-17.4759,24.2968,46.62,26,0,3.06
121,Havoysund,NO,2021-07-05 03:35:21,70.9963,24.6622,65.28,70,100,9.19
122,Jamestown,US,2021-07-05 03:35:21,42.097,-79.2353,65.3,83,1,1.01
123,Eureka,US,2021-07-05 03:35:21,40.8021,-124.1637,57.36,77,23,1.99
124,Kaitangata,NZ,2021-07-05 03:35:22,-46.2817,169.8464,52.93,58,100,7.92
125,Daan,CN,2021-07-05 03:35:22,33.0558,106.2958,80.89,72,100,1.86
126,Pangai,TO,2021-07-05 03:35:22,-19.8,-174.35,73.51,53,20,14.97
127,Bafq,IR,2021-07-05 03:35:23,31.6128,55.4107,94.75,12,51,3.13
128,Mackenzie,CA,2021-07-05 03:35:23,55.2999,-123.1698,71.82,35,1,4.03
129,Mezen,RU,2021-07-05 03:35:23,65.8522,44.24,56.12,60,5,5.39
130,Pimenta Bueno,BR,2021-07-05 03:35:23,-11.6725,-61.1936,67.73,63,0,2.8
131,Tarko-Sale,RU,2021-07-05 03:35:24,64.9225,77.785,54.07,50,100,16.33
132,Linxia,CN,2021-07-05 03:35:24,35.6003,103.2064,75.09,39,97,3.36
133,Ahipara,NZ,2021-07-05 03:35:24,-35.1667,173.1667,58.21,64,95,9.64
134,Katsuura,JP,2021-07-05 03:35:25,35.1333,140.3,76.19,94,100,9.98
135,Saint-Augustin,CA,2021-07-05 03:35:25,51.226,-58.6502,50.49,77,100,11.88
136,Goure,NE,2021-07-05 03:35:25,13.9835,10.2704,84.87,44,73,11.07
137,Yueyang,CN,2021-07-05 03:35:25,29.3333,113.0919,90.37,70,21,10.87
138,Lima,PE,2021-07-05 03:35:26,-12.0432,-77.0282,61.05,77,90,8.05
139,Bowen,AU,2021-07-05 03:35:26,-20.0167,148.2333,73.62,51,0,12.19
140,Hofn,IS,2021-07-05 03:35:26,64.2539,-15.2082,52.45,89,100,7.9
141,Alofi,NU,2021-07-05 03:35:27,-19.0595,-169.9187,73.29,68,90,13.8
142,Singaraja,ID,2021-07-05 03:35:27,-8.112,115.0882,83.59,61,37,2.8
143,Darhan,MN,2021-07-05 03:35:28,49.4867,105.9228,76.98,48,91,1.52
144,Campbellsville,US,2021-07-05 03:35:28,37.3434,-85.3419,74.66,67,34,3.44
145,Hobyo,SO,2021-07-05 03:35:28,5.3505,48.5268,77.79,75,93,22.86
146,Anadyr,RU,2021-07-05 03:35:29,64.75,177.4833,45.1,93,90,11.01
147,Khani,GE,2021-07-05 03:35:29,41.9563,42.9566,60.37,89,50,1.88
148,Yellowknife,CA,2021-07-05 03:32:14,62.456,-114.3525,61.29,41,20,6.91
149,Qianan,CN,2021-07-05 03:35:29,44.9932,124.0581,74.1,66,85,7.02
150,Vila Franca Do Campo,PT,2021-07-05 03:35:30,37.7167,-25.4333,68.41,92,55,9.44
151,Adrar,MR,2021-07-05 03:35:30,20.5022,-10.0711,85.23,21,0,10.29
152,Seropedica,BR,2021-07-05 03:35:30,-22.7439,-43.7075,65.52,96,86,2.51
153,San Felipe,VE,2021-07-05 03:35:31,10.3399,-68.7425,68.83,95,11,4.07
154,Norman Wells,CA,2021-07-05 03:35:31,65.282,-126.8329,66.24,77,90,9.22
155,Thompson,CA,2021-07-05 03:35:31,55.7435,-97.8558,46.56,93,90,11.5
156,Crotone,IT,2021-07-05 03:35:32,39.0851,17.1178,76.23,49,13,2.93
157,Zeya,RU,2021-07-05 03:35:32,53.75,127.2667,81.01,58,77,0.63
158,Ancud,CL,2021-07-05 03:35:32,-41.8697,-73.8203,46.22,89,95,6.93
159,Lobito,AO,2021-07-05 03:35:33,-12.3481,13.5456,68.74,83,63,2.55
160,Esmeraldas,BR,2021-07-05 03:34:15,-19.7625,-44.3139,55.71,67,33,4.03
161,Carnarvon,AU,2021-07-05 03:35:33,-24.8667,113.6333,71.67,67,40,12.66
162,Husavik,IS,2021-07-05 03:35:33,66.0449,-17.3389,48.11,92,66,2.35
163,Gagra,GE,2021-07-05 03:35:33,43.3283,40.2239,67.12,89,96,6.69
164,Nemuro,JP,2021-07-05 03:35:34,43.3236,145.575,59.43,96,100,14.43
165,Westport,US,2021-07-05 03:30:57,41.1415,-73.3579,69.98,90,75,3.44
166,Upernavik,GL,2021-07-05 03:35:34,72.7868,-56.1549,32.36,82,100,15.26
167,Gamba,GA,2021-07-05 03:35:34,-2.65,10.0,71.56,87,98,2.71
168,Andenes,NO,2021-07-05 03:35:35,69.3143,16.1194,63.07,93,20,9.22
169,Gohad,IN,2021-07-05 03:35:35,26.4261,78.4447,98.91,32,73,8.48
170,Kabare,CD,2021-07-05 03:35:35,-2.4683,28.8242,61.0,86,94,0.85
171,Marystown,CA,2021-07-05 03:35:36,47.1666,-55.1483,49.57,98,100,17.07
172,Tiznit,MA,2021-07-05 03:35:36,29.5833,-9.5,74.84,47,1,1.52
173,Dingle,PH,2021-07-05 03:35:36,10.9995,122.6711,85.73,71,79,15.05
174,Ponta Do Sol,PT,2021-07-05 03:35:36,32.6667,-17.1,73.0,82,0,3.94
175,Ocho Rios,JM,2021-07-05 03:35:37,18.4025,-77.1048,82.15,85,100,9.4
176,Vila Velha,BR,2021-07-05 03:35:37,-20.3297,-40.2925,64.35,88,0,4.61
177,Aripuana,BR,2021-07-05 03:35:37,-9.1667,-60.6333,70.75,61,8,0.98
178,Margate,GB,2021-07-05 03:35:38,51.3813,1.3862,60.22,87,100,1.01
179,Chunskiy,RU,2021-07-05 03:35:38,56.0815,99.6342,82.85,41,38,5.73
180,Fortuna,US,2021-07-05 03:35:38,40.5982,-124.1573,57.09,74,90,1.01
181,Ouesso,CG,2021-07-05 03:35:39,1.6136,16.0517,71.15,93,98,2.53
182,Garissa,KE,2021-07-05 03:35:39,-0.4536,39.6401,71.29,84,49,12.33
183,San Blas,MX,2021-07-05 03:35:39,21.5167,-105.2667,79.14,86,99,2.71
184,Smithers,CA,2021-07-05 03:35:39,54.7804,-127.1743,71.92,53,75,2.3
185,Ginir,ET,2021-07-05 03:35:40,7.1333,40.7,57.15,76,41,7.23
186,Mao,ES,2021-07-05 03:35:40,39.8885,4.2658,70.36,88,0,5.75
187,Kota Bahru,MY,2021-07-05 03:35:40,6.1333,102.2386,89.89,79,20,5.01
188,Kartal,HU,2021-07-05 03:35:41,47.6713,19.542,70.18,78,96,2.62
189,Abu Dhabi,AE,2021-07-05 03:35:31,24.4667,54.3667,93.31,36,13,11.5
190,Abbeville,FR,2021-07-05 03:35:41,50.1,1.8333,59.49,93,100,5.97
191,Siyabuswa,ZA,2021-07-05 03:35:41,-25.1132,29.0445,51.08,31,12,4.05
192,Yuanping,CN,2021-07-05 03:35:42,38.7153,112.7575,85.17,45,6,6.98
193,Novikovo,RU,2021-07-05 03:35:42,51.1537,37.8879,66.72,88,14,13.98
194,Seoul,KR,2021-07-05 03:34:42,37.5683,126.9778,81.01,63,75,3.44
195,Northam,GB,2021-07-05 03:35:43,51.0333,-4.2167,58.3,94,37,7.47
196,Amazar,RU,2021-07-05 03:35:43,53.858,120.875,83.07,40,30,2.59
197,Tula,RU,2021-07-05 03:34:22,54.2044,37.6111,63.03,82,47,10.6
198,Saskylakh,RU,2021-07-05 03:35:43,71.9167,114.0833,52.47,43,93,20.78
199,Manjakandriana,MG,2021-07-05 03:35:44,-18.9167,47.8,47.89,95,0,2.73
200,Taoudenni,ML,2021-07-05 03:35:44,22.6783,-3.9836,93.29,12,5,3.4
201,Tashtagol,RU,2021-07-05 03:35:44,52.7657,87.8894,83.01,46,28,3.47
202,Meadow Lake,US,2021-07-05 03:35:45,34.8014,-106.5436,83.68,38,83,13.78
203,Chuy,UY,2021-07-05 03:35:45,-33.6971,-53.4616,45.3,72,30,4.18
204,Mattru,SL,2021-07-05 03:35:45,7.6244,-11.8332,73.13,97,99,1.48
205,Tasiilaq,GL,2021-07-05 03:35:46,65.6145,-37.6368,37.56,94,100,6.91
206,Vardo,NO,2021-07-05 03:35:46,70.3705,31.1107,52.0,79,94,7.61
207,Teguldet,RU,2021-07-05 03:35:46,57.3064,88.1667,80.87,51,47,0.27
208,Haines Junction,CA,2021-07-05 03:35:46,60.7522,-137.5108,78.75,31,32,6.91
209,Guryevsk,RU,2021-07-05 03:35:47,54.2833,85.9333,80.96,65,36,5.21
210,Nuuk,GL,2021-07-05 03:35:47,64.1835,-51.7216,43.41,93,75,24.16
211,Singleton,AU,2021-07-05 03:35:47,-32.5667,151.1833,63.79,48,7,7.72
212,Kawalu,ID,2021-07-05 03:35:48,-7.3817,108.2082,81.99,64,38,6.15
213,Baculin,PH,2021-07-05 03:35:48,7.4525,126.5842,82.47,85,70,6.62
214,Kirensk,RU,2021-07-05 03:35:48,57.7853,108.1119,83.05,31,7,3.44
215,Sur,OM,2021-07-05 03:35:49,22.5667,59.5289,87.42,61,74,7.34
216,Khatanga,RU,2021-07-05 03:35:49,71.9667,102.5,49.28,53,100,23.6
217,Garowe,SO,2021-07-05 03:35:49,8.4054,48.4845,75.85,62,99,25.17
218,Santiago Del Estero,AR,2021-07-05 03:31:31,-27.7951,-64.2615,57.61,66,28,5.93
219,Avarua,CK,2021-07-05 03:35:50,-21.2078,-159.775,73.45,94,75,8.05
220,Akyab,MM,2021-07-05 03:35:50,20.15,92.9,84.7,74,75,8.84
221,Codrington,AU,2021-07-05 03:35:50,-38.2667,141.9667,53.22,71,96,9.51
222,Atlantic City,US,2021-07-05 03:35:51,39.3643,-74.4229,70.03,87,75,3.44
223,Pinega,RU,2021-07-05 03:35:51,64.7001,43.3936,62.2,46,20,2.33
224,Seabra,BR,2021-07-05 03:35:51,-12.4186,-41.7703,62.33,97,97,1.74
225,Neiafu,TO,2021-07-05 03:35:52,-18.65,-173.9833,72.28,64,75,8.05
226,San Juan De Los Morros,VE,2021-07-05 03:35:52,9.9115,-67.3538,67.59,95,1,0.6
227,Zapolyarnyy,RU,2021-07-05 03:35:52,69.4154,30.8136,54.68,45,78,3.98
228,Tromso,NO,2021-07-05 03:35:53,69.6496,18.957,61.45,57,91,4.07
229,Biskamzha,RU,2021-07-05 03:35:53,53.4497,89.5272,83.14,40,24,2.19
230,Vestmannaeyjar,IS,2021-07-05 03:35:53,63.4427,-20.2734,51.82,94,97,9.1
231,Xining,CN,2021-07-05 03:35:53,36.6167,101.7667,71.98,42,59,5.03
232,Dikson,RU,2021-07-05 03:35:54,73.5069,80.5464,33.76,90,98,19.69
233,Basco,PH,2021-07-05 03:35:54,20.4487,121.9702,83.21,79,48,21.09
234,Kalemie,CD,2021-07-05 03:35:54,-5.9475,29.1947,66.47,66,3,3.42
235,Aleksandrovsk,RU,2021-07-05 03:35:55,59.158,57.5624,59.79,53,2,9.26
236,Udachnyy,RU,2021-07-05 03:35:55,66.4167,112.4,65.01,54,98,8.88
237,Naze,JP,2021-07-05 03:35:55,28.3667,129.4833,83.32,77,17,7.61
