City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Camopi,GF,2021-07-06 17:01:38,3.1655,-52.3158,80.47,89,37,2.39,scattered clouds
60,Armidale,AU,2021-07-06 17:01:38,-30.5167,151.65,30.79,82,5,2.77,clear sky
61,Carballo,ES,2021-07-06 17:01:38,43.213,-8.691,67.69,80,54,9.62,broken clouds
62,Torbay,CA,2021-07-06 17:01:39,47.6666,-52.7314,69.28,66,67,8.01,broken clouds
63,Yellowknife,CA,2021-07-06 17:00:04,62.456,-114.3525,55.29,100,99,13.0,overcast clouds
64,Buraydah,SA,2021-07-06 17:01:39,26.326,43.975,99.99,6,0,11.25,clear sky
65,Airai,TL,2021-07-06 17:01:39,-8.9266,125.4092,56.64,91,96,3.06,overcast clouds
66,Vestmannaeyjar,IS,2021-07-06 17:01:40,63.4427,-20.2734,53.76,86,100,8.25,overcast clouds
67,Nikolskoye,RU,2021-07-06 17:01:40,59.7035,30.7861,80.49,46,89,4.34,overcast clouds
68,Muli,MV,2021-07-06 17:01:40,2.9167,73.5667,82.81,77,92,13.24,overcast clouds
69,Alofi,NU,2021-07-06 17:01:41,-19.0595,-169.9187,73.29,68,98,20.83,overcast clouds
70,Baiyin,CN,2021-07-06 17:01:41,36.5583,104.2081,72.75,48,93,4.94,overcast clouds
71,Griffith,US,2021-07-06 17:01:41,41.5284,-87.4237,90.03,57,1,4.0,clear sky
72,Labuhan,ID,2021-07-06 17:01:42,-6.8844,112.2051,74.91,76,76,6.31,broken clouds
73,Meulaboh,ID,2021-07-06 17:01:42,4.1363,96.1285,76.08,80,98,4.63,overcast clouds
74,Melfi,IT,2021-07-06 17:01:42,40.9965,15.6514,85.23,30,0,8.28,clear sky
75,Icod De Los Vinos,ES,2021-07-06 17:01:43,28.3724,-16.7119,72.95,66,11,10.71,few clouds
76,Ohara,JP,2021-07-06 17:01:43,35.25,140.3833,77.0,95,100,8.63,light rain
77,College,US,2021-07-06 17:01:43,64.8569,-147.8028,61.09,76,95,2.66,light rain
78,Ardmore,US,2021-07-06 16:57:16,34.1743,-97.1436,85.59,69,90,4.0,overcast clouds
79,Gizo,SB,2021-07-06 17:01:43,-8.103,156.8419,81.99,79,64,9.73,broken clouds
80,Chuy,UY,2021-07-06 17:01:44,-33.6971,-53.4616,63.99,71,7,13.31,clear sky
81,Khatanga,RU,2021-07-06 17:01:44,71.9667,102.5,45.36,59,14,4.83,few clouds
82,Jieshi,CN,2021-07-06 17:01:44,22.8134,115.8257,82.94,84,81,7.25,broken clouds
83,Santa Isabel Do Rio Negro,BR,2021-07-06 17:01:45,-0.4139,-65.0192,72.66,97,100,2.04,overcast clouds
84,Lompoc,US,2021-07-06 17:01:45,34.6391,-120.4579,78.13,88,90,9.22,mist
85,Santa Cruz De La Palma,ES,2021-07-06 17:01:45,28.6835,-17.7642,76.14,73,75,17.27,broken clouds
86,Port Antonio,JM,2021-07-06 17:01:46,18.18,-76.4612,86.92,68,97,13.49,overcast clouds
87,Awjilah,LY,2021-07-06 17:01:46,29.1081,21.2869,99.25,14,0,12.71,clear sky
88,Aklavik,CA,2021-07-06 17:01:46,68.2191,-135.0107,74.3,37,94,12.64,overcast clouds
89,Atuona,PF,2021-07-06 17:01:47,-9.8,-139.0333,78.33,77,6,21.32,clear sky
90,Kumluca,TR,2021-07-06 17:01:47,36.3703,30.2869,82.81,50,26,2.71,scattered clouds
91,Fort Dodge,US,2021-07-06 17:01:47,42.4975,-94.168,86.45,54,75,10.36,broken clouds
92,Mehamn,NO,2021-07-06 17:01:48,71.0357,27.8492,66.15,55,0,3.44,clear sky
93,Vredendal,ZA,2021-07-06 17:01:48,-31.6683,18.5012,57.49,37,6,8.61,clear sky
94,Fare,PF,2021-07-06 17:01:48,-16.7,-151.0167,79.99,71,17,14.85,few clouds
95,Babati,TZ,2021-07-06 17:01:49,-4.2167,35.75,62.56,60,14,5.01,few clouds
96,Mount Gambier,AU,2021-07-06 16:59:27,-37.8333,140.7667,44.51,81,99,8.05,overcast clouds
97,Jumla,NP,2021-07-06 17:01:49,29.2747,82.1838,63.09,94,67,0.78,broken clouds
98,Llanes,ES,2021-07-06 17:01:49,43.4198,-4.7549,68.27,75,39,4.32,scattered clouds
99,Faanui,PF,2021-07-06 17:01:50,-16.4833,-151.75,80.22,76,30,14.56,light rain
100,Vila,PT,2021-07-06 17:01:50,42.0304,-8.1588,61.74,77,76,7.63,broken clouds
101,Kamaishi,JP,2021-07-06 17:01:50,39.2667,141.8833,67.19,90,59,3.69,broken clouds
102,Asfi,MA,2021-07-06 17:01:51,32.2994,-9.2372,74.28,66,0,20.58,clear sky
103,Hobart,AU,2021-07-06 17:01:51,-42.8794,147.3294,35.46,89,21,8.05,few clouds
104,Jining,CN,2021-07-06 17:01:51,35.405,116.5814,73.65,90,100,4.88,overcast clouds
105,Caxito,AO,2021-07-06 17:01:52,-8.5785,13.6643,74.05,71,53,9.64,broken clouds
106,Kapaa,US,2021-07-06 17:01:52,22.0752,-159.319,76.98,84,30,1.99,light rain
107,Hithadhoo,MV,2021-07-06 17:01:52,-0.6,73.0833,82.04,78,99,10.38,light rain
108,Port Lincoln,AU,2021-07-06 17:01:53,-34.7333,135.8667,53.46,57,58,10.78,broken clouds
109,Avarua,CK,2021-07-06 17:01:53,-21.2078,-159.775,72.79,81,100,13.94,light rain
110,Bethel,US,2021-07-06 17:01:53,41.3712,-73.414,91.15,71,74,5.01,broken clouds
111,Sola,VU,2021-07-06 17:01:54,-13.8833,167.55,79.93,73,66,16.44,broken clouds
112,Lucapa,AO,2021-07-06 17:01:54,-8.4192,20.7447,73.96,17,36,1.83,scattered clouds
113,Te Anau,NZ,2021-07-06 17:01:54,-45.4167,167.7167,39.36,96,100,6.62,overcast clouds
114,Belaya Gora,RU,2021-07-06 17:01:55,68.5333,146.4167,52.29,64,99,0.43,overcast clouds
115,Cayenne,GF,2021-07-06 16:57:10,4.9333,-52.3333,87.84,79,75,3.0,broken clouds
116,Vaini,TO,2021-07-06 17:01:55,-21.2,-175.2,71.62,65,90,20.83,overcast clouds
117,Deputatskiy,RU,2021-07-06 17:01:56,69.3,139.9,45.7,83,59,5.46,broken clouds
118,Suntar,RU,2021-07-06 17:01:56,62.1444,117.6319,63.01,66,38,5.03,scattered clouds
119,San Pedro De Ycuamandiyu,PY,2021-07-06 17:01:56,-24.0917,-57.0764,86.59,21,1,8.12,clear sky
120,Harper,LR,2021-07-06 17:01:57,4.375,-7.7169,74.82,90,100,6.06,light rain
121,Cockburn Town,TC,2021-07-06 17:01:57,21.4612,-71.1419,81.18,80,100,20.54,overcast clouds
122,Dikson,RU,2021-07-06 17:01:58,73.5069,80.5464,34.77,87,47,9.75,scattered clouds
123,Bandarbeyla,SO,2021-07-06 17:01:58,9.4942,50.8122,77.81,81,80,33.08,broken clouds
124,Bermeo,ES,2021-07-06 17:01:58,43.4209,-2.7215,68.13,69,100,3.87,overcast clouds
125,Esperance,AU,2021-07-06 17:01:58,-33.8667,121.9,58.87,58,100,21.79,light rain
126,Takoradi,GH,2021-07-06 17:01:21,4.8845,-1.7554,78.01,84,97,11.52,light rain
127,Alvorada,BR,2021-07-06 17:01:59,-12.48,-49.1247,92.98,20,0,5.75,clear sky
128,San Quintin,MX,2021-07-06 17:02:00,30.4833,-115.95,72.81,68,42,14.23,scattered clouds
129,Miles City,US,2021-07-06 17:02:00,46.4083,-105.8406,79.52,64,40,10.36,scattered clouds
130,Laguna,US,2021-07-06 17:02:00,38.421,-121.4238,87.21,65,1,6.91,clear sky
131,Ponta Do Sol,PT,2021-07-06 17:02:01,32.6667,-17.1,76.71,74,19,3.13,few clouds
132,Lorengau,PG,2021-07-06 17:01:16,-2.0226,147.2712,80.2,81,100,1.39,overcast clouds
133,Saint-Philippe,RE,2021-07-06 17:02:01,-21.3585,55.7679,72.95,83,59,9.42,light rain
134,Constantine,DZ,2021-07-06 17:02:02,36.365,6.6147,94.68,21,21,11.25,few clouds
135,Kivertsi,UA,2021-07-06 17:02:02,50.8343,25.4582,74.21,77,13,4.41,few clouds
136,East London,ZA,2021-07-06 17:02:03,-33.0153,27.9116,63.64,48,22,5.23,few clouds
137,Mareeba,AU,2021-07-06 17:02:03,-17.0,145.4333,67.48,91,99,1.74,overcast clouds
138,Katima Mulilo,NA,2021-07-06 17:02:04,-17.5,24.2667,63.55,23,0,6.35,clear sky
139,Barcelos,PT,2021-07-06 16:59:37,41.5388,-8.6151,68.85,61,36,9.1,scattered clouds
140,Maunabo,PR,2021-07-06 17:02:04,18.0072,-65.8993,91.04,81,54,12.33,broken clouds
141,New Norfolk,AU,2021-07-06 17:02:04,-42.7826,147.0587,35.1,80,11,2.62,few clouds
142,Klaksvik,FO,2021-07-06 17:02:05,62.2266,-6.589,52.72,99,100,4.72,overcast clouds
143,Chalus,IR,2021-07-06 17:02:05,36.655,51.4204,82.0,77,5,1.23,clear sky
144,Dire,ML,2021-07-06 17:02:05,12.2833,-10.9667,98.96,29,61,4.81,broken clouds
145,Paea,PF,2021-07-06 17:02:06,-17.6833,-149.5833,74.91,78,20,3.44,few clouds
146,Bathsheba,BB,2021-07-06 17:02:06,13.2167,-59.5167,83.23,71,34,18.25,scattered clouds
147,Cabo San Lucas,MX,2021-07-06 17:00:01,22.8909,-109.9124,94.8,66,80,9.64,broken clouds
148,Jamestown,US,2021-07-06 17:02:06,42.097,-79.2353,84.29,86,90,1.99,overcast clouds
149,Sao Filipe,CV,2021-07-06 17:02:07,14.8961,-24.4956,75.4,76,97,4.41,overcast clouds
150,Turukhansk,RU,2021-07-06 17:02:07,65.8167,87.9833,45.54,82,63,11.03,broken clouds
151,Kargasok,RU,2021-07-06 17:02:08,59.0556,80.8572,47.62,80,15,5.75,few clouds
152,Arshan,RU,2021-07-06 17:02:08,46.2732,44.22,75.58,64,20,11.18,few clouds
153,Caravelas,BR,2021-07-06 17:02:08,-17.7125,-39.2481,74.73,63,22,10.2,few clouds
154,Kavieng,PG,2021-07-06 17:02:08,-2.5744,150.7967,81.91,78,100,11.25,light rain
155,Sao Jose Da Coroa Grande,BR,2021-07-06 17:02:09,-8.8978,-35.1478,78.91,75,26,10.07,scattered clouds
156,Tafresh,IR,2021-07-06 17:02:09,34.692,50.013,82.58,8,0,11.95,clear sky
157,Pasuruan,ID,2021-07-06 17:02:09,-7.6453,112.9075,75.09,72,99,4.27,overcast clouds
158,Ofaqim,IL,2021-07-06 17:02:10,31.3141,34.6203,81.73,59,0,11.23,clear sky
159,Bubaque,GW,2021-07-06 17:02:10,11.2833,-15.8333,80.24,76,98,5.37,overcast clouds
160,Bambous Virieux,MU,2021-07-06 17:02:10,-20.3428,57.7575,73.22,76,14,14.32,light rain
161,Solnechnyy,RU,2021-07-06 17:02:10,50.7214,136.6319,64.44,90,67,4.63,broken clouds
162,Nanortalik,GL,2021-07-06 17:02:11,60.1432,-45.2371,44.08,92,100,6.71,overcast clouds
163,Fomboni,KM,2021-07-06 17:02:11,-12.28,43.7425,77.68,64,2,20.89,clear sky
164,Nanae,JP,2021-07-06 17:02:11,41.8833,140.6833,60.04,96,24,2.44,few clouds
