City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
451,Midland,US,81.05,broken clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
453,Nuevo Progreso,MX,88.9,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
455,Darnah,LY,78.91,clear sky,32.767,22.6367,فندق الفردوس
456,Salmas,IR,77.31,clear sky,38.1973,44.7653,Ata Hotel
457,Marsaxlokk,MT,84.81,clear sky,35.8419,14.5431,Water's Edge
459,Pak Phanang,TH,78.75,overcast clouds,8.3511,100.202,Green Park Inn Hotel
462,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
466,Pemangkat,ID,78.3,scattered clouds,1.1667,108.9667,Ramah Kost KITA
470,Dawei,MM,78.53,heavy intensity rain,14.0833,98.2,Hotel Dawei
475,Belawan,ID,79.09,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
476,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
477,Portland,US,77.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
485,Huilong,CN,81.99,light rain,31.8111,121.655,Hilton Garden Inn Qidong
486,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
490,Palauig,PH,80.42,overcast clouds,15.435,119.9045,Myhousebythesea
493,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
495,Kavaratti,IN,82.72,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
496,Kulhudhuffushi,MV,82.74,broken clouds,6.6221,73.07,Hondaafushi Island Resort
497,Pipili,IN,88.21,haze,20.1167,85.8333,"BAITANGI,PIPILI,PURI,ODISHA"
499,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
513,Gigmoto,PH,80.19,broken clouds,13.7796,124.39,Cj's Travellers Inn
518,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
520,Touros,BR,84.24,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
521,Bonthe,SL,80.65,light rain,7.5264,-12.505,Bonthe Holiday Village
522,Turayf,SA,88.38,clear sky,31.6725,38.6637,Turaif
524,Axim,GH,78.57,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
530,Sorong,ID,77.38,overcast clouds,-0.8833,131.25,waigo splash hotel
532,Marsh Harbour,BS,83.5,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
538,Puqi,CN,80.49,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
547,Albania,AL,89.51,clear sky,41.0,20.0,Bora Homestay
551,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
553,San Policarpo,PH,79.36,scattered clouds,12.1791,125.5072,JM Lodge
554,Timana,CO,76.3,broken clouds,1.9714,-75.9312,Hotel Dos Lunas
556,Sanming,CN,77.22,broken clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
557,Cabedelo,BR,80.22,few clouds,-6.9811,-34.8339,Hotel Pigalle
558,Sungairaya,ID,78.53,broken clouds,0.7,108.9,Mess P.Milu
560,Dingle,PH,75.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
562,Borujerd,IR,76.59,clear sky,33.8973,48.7516,Zagros Hotel
567,Liberal,US,84.47,scattered clouds,37.0431,-100.921,Hampton Inn & Suites Liberal
568,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
569,Vieux-Habitants,GP,83.77,scattered clouds,16.0589,-61.7659,Gîtes Dardanelle
571,Boysun,UZ,84.0,clear sky,38.2061,67.1986,Gaza Hotel
572,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
574,Fugen,AT,84.52,broken clouds,47.35,11.85,Wohlfühlhotel Schiestl Fügen/Zillertal
581,Fizesu Gherlii,RO,81.52,clear sky,47.0167,23.9833,Hotel Restaurant Mariflor
585,Hirado,JP,81.36,overcast clouds,33.3597,129.5531,Samson Hotel
586,Erenhot,CN,75.24,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
587,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
591,Tigzirt,DZ,85.12,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
592,Barillas,GT,82.74,scattered clouds,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
594,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
596,Ixtapa,MX,87.03,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
597,Pitsunda,GE,75.38,scattered clouds,43.1592,40.3378,Hotel FREEDOM
598,Balikpapan,ID,75.94,scattered clouds,-1.2675,116.8289,ibis Balikpapan
601,Morant Bay,JM,87.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
604,Matara,LK,79.29,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
605,Mossendjo,CG,76.5,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
607,Rovaniemi,FI,80.01,clear sky,66.5,25.7167,Arctic City Hotel
609,Zabid,YE,89.04,scattered clouds,14.1951,43.3152,دار الضيافة
612,Kosice,SK,84.69,clear sky,48.6667,21.3333,Hotel Bonaparte
615,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
618,Karangampel,ID,76.69,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
622,Ilebo,CD,82.17,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
624,Petawawa,CA,82.27,scattered clouds,45.9001,-77.3328,Petawawa River Inn & Suites
627,Shache,CN,87.58,overcast clouds,38.4167,77.2406,Delong Hotel
628,Sao Joao De Pirabas,BR,82.76,few clouds,-0.7747,-47.1772,POUSADA SOL E MAR
629,Okitipupa,NG,81.45,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
632,Tshikapa,CD,78.57,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
636,Road Town,VG,86.2,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
637,Port-Gentil,GA,76.17,scattered clouds,-0.7193,8.7815,Fengshui Residence
638,Saint Augustine,US,86.27,clear sky,29.8947,-81.3145,St. George Inn
646,Dabakala,CI,83.19,overcast clouds,8.3667,-4.4333,Hôtel Campement
648,Meteti,PA,88.63,overcast clouds,8.4983,-77.9786,Txai Mauá
649,Chiriqui Grande,PA,89.08,broken clouds,8.95,-82.1167,Hotel Atlantic
651,Bairiki,KI,78.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
653,Eyl,SO,79.74,broken clouds,7.9803,49.8164,Amiin Hotel
654,Banda Aceh,ID,81.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
656,Bastia,FR,85.8,few clouds,42.6667,9.3333,Hotel Santa Maria
662,Marshall,US,88.61,scattered clouds,34.3834,-86.3333,Riverview Campground
663,Tucumcari,US,80.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
665,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
666,Torello,ES,84.61,scattered clouds,42.0463,2.2668,Casal del Pensionista de Sant Vicenç de Torelló
670,Camara De Lobos,PT,76.71,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
673,Ratnagiri,IN,83.08,light rain,16.9833,73.3,Hotel Landmark
677,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
678,Batalha,BR,82.65,scattered clouds,-9.6778,-37.1247,Pousada Solar do Sertão
